Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
569429,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",Douglas Adams,"Adams, Douglas",,0345379330,9780345379337,0,3.96,Random House Worlds,Paperback,288,1993,1992,,2/18/2023,to-read,to-read (#48),to-read,,,,0,0
6091075,"So Long, and Thanks for All the Fish (The Hitchhiker's Guide to the Galaxy, #4)",Douglas Adams,"Adams, Douglas",,0307497909,9780307497901,0,4.08,Del Rey,Kindle Edition,225,2008,1984,,2/18/2023,to-read,to-read (#47),to-read,,,,0,0
8694,"Life, the Universe and Everything (The Hitchhiker's Guide to the Galaxy, #3)",Douglas Adams,"Adams, Douglas",,0345418905,9780345418906,0,4.16,Random House Worlds,Paperback,224,1997,1982,,2/18/2023,currently-reading,currently-reading (#1),currently-reading,,,,1,0
8695,"The Restaurant at the End of the Universe (The Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,"Adams, Douglas",,,,4,4.2,Del Rey,Paperback,250,2005,1980,,2/18/2023,,,read,,,,1,0
11,"The Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,,,5,4.22,Del Rey Books,Mass Market Paperback,216,2005,1979,,2/18/2023,,,read,,,,1,0
17061,Coraline,Neil Gaiman,"Gaiman, Neil",Dave McKean,0061139378,9780061139376,0,4.13,William Morrow Paperbacks,Paperback,208,2006,2002,,2/18/2023,to-read,to-read (#46),to-read,,,,0,0
179780,"The Exorcist (The Exorcist, #1)",William Peter Blatty,"Blatty, William Peter",,,,0,4.21,HarperTorch,Mass Market Paperback,385,1994,1971,,2/18/2023,to-read,to-read (#45),to-read,,,,0,0
8908,World War Z: An Oral History of the Zombie War,Max Brooks,"Brooks, Max",,0307346609,9780307346605,0,4.02,Crown,Hardcover,342,2006,2006,,2/18/2023,to-read,to-read (#44),to-read,,,,0,0
89717,The Haunting of Hill House,Shirley Jackson,"Jackson, Shirley",Laura Miller,0143039989,9780143039983,0,3.81,Penguin Classics,Paperback,182,2006,1959,,2/18/2023,to-read,to-read (#43),to-read,,,,0,0
17245,Dracula,Bram Stoker,"Stoker, Bram","Rubén Toledo, Nina Auerbach, David J. Skal",0393970124,9780393970128,0,4.02,Norton,Paperback,488,1986,1897,,2/18/2023,to-read,to-read (#42),to-read,,,,0,0
830502,It,Stephen  King,"King, Stephen",,0450411435,9780450411434,0,4.24,New English Library,Paperback,1184,1987,1986,,2/18/2023,to-read,to-read (#41),to-read,,,,0,0
11588,"The Shining (The Shining, #1)",Stephen  King,"King, Stephen",,0450040186,9780450040184,0,4.28,New English Library,Mass Market Paperback,497,1980,1977,,2/18/2023,to-read,to-read (#40),to-read,,,,0,0
6294,"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,"Jones, Diana Wynne",,006441034X,9780064410342,0,4.28,Harper Trophy,Mass Market Paperback,329,2001,1986,,2/18/2023,to-read,to-read (#39),to-read,,,,0,0
21787,The Princess Bride,William Goldman,"Goldman, William",,0345418263,9780345418265,0,4.27,Ballantine Books,Paperback,429,2003,1973,,2/18/2023,to-read,to-read (#38),to-read,,,,0,0
35959740,Circe,Madeline Miller,"Miller, Madeline",,0316556343,9780316556347,0,4.22,"Little, Brown and Company",Hardcover,393,2018,2018,,2/18/2023,to-read,to-read (#37),to-read,,,,0,0
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,0553588486,9780553588484,0,4.45,Bantam,Mass Market Paperback,835,2005,1996,,2/18/2023,to-read,to-read (#36),to-read,,,,0,0
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,1441341706,9781441341709,0,4.29,Modern Library,Paperback,279,2023,1813,,2/18/2023,to-read,to-read (#35),to-read,,,,0,0
100915,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"Lewis, C.S.","Tormod Haugen, Per Svein Paulsen",,,0,4.24,HarperCollins Publishers,Paperback,206,2005,1950,,2/18/2023,to-read,to-read (#34),to-read,,,,0,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,,,4,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,,2/18/2023,,,read,,,,1,0
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,,,4,4.58,Scholastic Inc,Paperback,652,2006,2005,,2/18/2023,,,read,,,,1,0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,0439686520,9780439686525,4,4.5,Scholastic Inc.,Paperback,870,2004,2003,,2/18/2023,,,read,,,,1,0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,0439139597,9780439139595,5,4.57,Scholastic,Paperback,734,2002,2000,,2/18/2023,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,043965548X,9780439655484,4,4.58,Scholastic Inc.,Mass Market Paperback,547,2004,1999,,2/18/2023,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,,,4,4.43,Arthur A. Levine Books,Hardcover,352,1999,1998,,2/18/2023,,,read,,,,1,0
119322,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"Pullman, Philip",,0679879242,9780679879244,0,4.03,RANDOM HOUSE TRADE,Hardcover,399,1996,1995,,2/18/2023,to-read,to-read (#33),to-read,,,,0,0
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"Riordan, Rick",,0786838655,9780786838653,5,4.31,Disney Hyperion Books,Paperback,377,2006,2005,,2/18/2023,,,read,,,,1,0
6186357,"The Maze Runner (The Maze Runner, #1)",James Dashner,"Dashner, James",,0385737947,9780385737944,0,4.05,Delacorte Press,Hardcover,384,2009,2009,,2/18/2023,to-read,to-read (#32),to-read,,,,0,0
